threshold,precision,recall,f1,tp,fp,fn,tn,subset
0.1,0.4303595402053036,0.9168629180866078,0.5857691853362842,128866,170572,11685,1283184,all_classes
0.1,0.4386234935385327,0.9086049689333457,0.5916375638777676,105728,135317,10635,907816,core_classes
0.15,0.48020765990790554,0.8720037566434339,0.6193452816422383,122561,132664,17990,1321092,all_classes
0.15,0.4906789865578605,0.8579703170250975,0.6243105623005315,99836,103629,16527,939504,core_classes
0.2,0.5210876953230126,0.8247326593193343,0.6386558741315226,115917,106535,24634,1347221,all_classes
0.2,0.5345723421262684,0.804594243874702,0.6423604511848229,93625,81515,22738,961618,core_classes
0.25,0.5548876792148761,0.7723957851597802,0.6458196955470905,108561,87084,31990,1366672,all_classes
0.25,0.5712752013804809,0.7453829825631219,0.6468175498060513,86735,65092,29628,978041,core_classes
0.3,0.5853692361030518,0.7207632816557178,0.6460487624757473,101304,71756,39247,1382000,all_classes
0.3,0.6045308813743417,0.6870568823422663,0.6431573774370684,79948,52300,36415,990833,core_classes
0.35,0.6117667736412414,0.668646968004449,0.6389434630725085,93979,59640,46572,1394116,all_classes
0.35,0.6334435481078288,0.6289198456553519,0.6311735864961612,73183,42349,43180,1000784,core_classes
0.4,0.6364089446565397,0.6177899837069378,0.626961257140484,86831,49608,53720,1404148,all_classes
0.4,0.6599915037392774,0.5741086084064029,0.6140616907370786,66805,34416,49558,1008717,core_classes
0.45,0.6596796634312238,0.5667337834664593,0.6096846857469674,79655,41093,60896,1412663,all_classes
0.45,0.6843747879773974,0.5201137818721999,0.5910438092113027,60522,27912,55841,1015221,core_classes
0.5,0.682223229119404,0.514204808219044,0.5864163172575382,72272,33664,68279,1420092,all_classes
0.5,0.7073002306157956,0.4665228637968713,0.5622171312025297,54286,22465,62077,1020668,core_classes
0.55,0.7045201562737953,0.45932081593155083,0.55609104330854,64558,27076,75993,1426680,all_classes
0.55,0.7296623818639303,0.41269131940561754,0.5272015630910275,48022,17792,68341,1025341,core_classes
0.6,0.7256855599492484,0.39953468847604073,0.5153418665455621,56155,21227,84396,1432529,all_classes
0.6,0.7498734360308184,0.35641913666712305,0.4831800318644779,41474,13834,74889,1029299,core_classes
0.65,0.7473423273107456,0.33461875048912243,0.46226201398956623,47031,15900,93520,1437856,all_classes
0.65,0.7687499999998291,0.29702740561859897,0.4284943830166466,34563,10397,81800,1032736,core_classes
0.7,0.7731715467188561,0.2633990508783101,0.392935416225897,37021,10861,103530,1442895,all_classes
0.7,0.788811431546444,0.23435284411709614,0.36134999050539013,27270,7301,89093,1035832,core_classes
0.75,0.8033962949507195,0.18883536936768938,0.30579478569834156,26541,6495,114010,1447261,all_classes
0.75,0.8079646379892735,0.16965014652422422,0.2804198954241164,19741,4692,96622,1038441,core_classes
0.8,0.8230654018967433,0.11729550127710814,0.20532939544133214,16486,3544,124065,1450212,all_classes
0.8,0.8178611832030226,0.1056177650971438,0.18707664003218547,12290,2737,104073,1040396,core_classes
